#defaultCSS=symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5
org.esa.snap.Pin	geometry:Point	style_css:String	label:String	text:String	pixelPos:Point	geoPos:Point	dateTime:Date
pin_1	POINT (1778838.5661819333 9054724.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 1		POINT (162.5 135.49999999988358)	POINT (116.5398736372995 -8.380047504205821)	[null]
pin_10	POINT (1778898.5661819333 9054704.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 10		POINT (168.5 137.49999999988358)	POINT (116.54041283105627 -8.38020890523108)	[null]
pin_11	POINT (1778828.5661819333 9055224.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 11		POINT (161.5 85.49999999988358)	POINT (116.53965226520755 -8.37561946555186)	[null]
pin_12	POINT (1778708.5661819333 9055114.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 12		POINT (149.5 96.49999999988358)	POINT (116.53861359735905 -8.376625850157547)	[null]
pin_13	POINT (1778558.5661819333 9055054.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 13		POINT (134.5 102.49999999988358)	POINT (116.53729473907703 -8.377197076543494)	[null]
pin_14	POINT (1779118.5661819333 9055054.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 14		POINT (190.5 102.49999999988358)	POINT (116.54227774141927 -8.377049426783103)	[null]
pin_15	POINT (1778198.5661819333 9055244.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 15		POINT (98.5 83.49999999988358)	POINT (116.53404105723033 -8.37560827119441)	[null]
pin_16	POINT (1778958.5661819333 9055154.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 16		POINT (174.5 92.49999999988358)	POINT (116.54082755915687 -8.376205486865091)	[null]
pin_17	POINT (1778398.5661819333 9055494.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 17		POINT (118.5 58.499999999883585)	POINT (116.53575457966328 -8.373340200961351)	[null]
pin_18	POINT (1779178.5661819333 9055234.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 18		POINT (196.5 84.49999999988358)	POINT (116.54276396571855 -8.375438577603232)	[null]
pin_19	POINT (1778358.5661819333 9055204.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 19		POINT (114.5 87.49999999988358)	POINT (116.53547537691422 -8.375920570909985)	[null]
pin_2	POINT (1778848.5661819333 9054724.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 2		POINT (163.5 135.49999999988358)	POINT (116.53996262010668 -8.380044866660224)	[null]
pin_20	POINT (1778198.5661819333 9055214.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 20		POINT (98.5 86.49999999988358)	POINT (116.53404899471987 -8.375874117201942)	[null]
pin_3	POINT (1778858.5661819333 9054734.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 3		POINT (164.5 134.49999999988358)	POINT (116.54004895433123 -8.379953615686675)	[null]
pin_4	POINT (1778848.5661819333 9054734.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 4		POINT (163.5 134.49999999988358)	POINT (116.53995997157232 -8.379956253223241)	[null]
pin_5	POINT (1778838.5661819333 9054734.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 5		POINT (162.5 134.49999999988358)	POINT (116.53987098878444 -8.379958890740564)	[null]
pin_6	POINT (1778858.5661819333 9054744.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 6		POINT (164.5 133.49999999988358)	POINT (116.54004630580657 -8.379865002276748)	[null]
pin_7	POINT (1778838.5661819333 9054744.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 7		POINT (162.5 133.49999999988358)	POINT (116.53986834029843 -8.379870277274081)	[null]
pin_8	POINT (1778828.5661819333 9054744.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 8		POINT (161.5 133.49999999988358)	POINT (116.53977935750085 -8.379872914743883)	[null]
pin_9	POINT (1778848.5661819333 9054744.811795378)	symbol:pin; fill:#0000ff; fill-opacity:0.7; stroke:#ffffff; stroke-opacity:1.0; stroke-width:0.5	Pin 9		POINT (163.5 133.49999999988358)	POINT (116.53995732306703 -8.379867639785036)	[null]
